Userid,Event Name,Latitude,Longitude,Tweet_Timestamp,Event_Timestamp,Hashtags,Category (for our reference),Emotion,Uncertainity,data,Location
chicBagels135,Motivational Talks,23.022,72.5714,3/17/2023 17:05,12/3/2022 9:16,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana1135,ICAI,23.022,72.5714,3/24/2023 16:23,12/13/2022 13:15,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
excitedSalt0,Juneteenth,41.49,71.3128,10/30/2022 19:35,11/14/2022 17:07,#hiphop #nyc #blackculture #blackgirlsrock #smallbusiness #blackwomen #melaninpoppin #independenceday #culture #nojusticenopeace #unity #fortheculture #blackhistorymonth #slavery #supportblackownedbusinesses,Public holidays,happy,0.945703,0-1-1-3-0,Austin
trustingGatorade6,Labor Day,30.2672,97.7431,10/22/2022 2:46,10/31/2022 11:45,#laborday #labordayweekend #happylaborday #labordaysale #summer #longweekend #sale,Public holidays,happy,0.162398,0-1-1-3-0,Austin
excitedMallard5,Juneteenth,30.2672,97.7431,10/28/2022 11:05,11/2/2022 6:54,#juneteenth #blacklivesmatter #blm #blackhistory #juneteenthcelebration #blackgirlmagic #blackownedbusiness #freedom #love #blackexcellence #explorepage #black #melanin #blackowned #blacklove #buyblack #june,Public holidays,happy,0.567466,0-1-1-2-0,Austin
goofyCoconut0,Juneteenth,30.2672,97.7431,10/19/2022 9:19,11/2/2022 20:38,#blacklove #buyblack #june #blackpower #atlanta #happyjuneteenth #georgefloyd #supportblackbusiness #fashion #blackbusiness #art #th #explore #blackisbeautiful #music #repost,Public holidays,happy,0.369649,0-1-1-2-0,Austin
jealousStork9,Global Climate change strike,-8.3405,115.092,10/20/2022 9:19,11/13/2022 4:07,#savetheearth #reuse #conservation #ocean #gretathunberg #art #love #noplanetb #plasticpollution #biodiversity #wildlife #energy #cop #ecology #noplastic,Protest,anger,0.272483,0-1-0-0-0,Bali
jumpyFish2,Global Climate change strike,-8.3405,115.092,10/31/2022 9:58,10/29/2022 13:10,#climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal #plasticfree #green #sustainableliving #climateemergency #recycle #eco #pollution,Protest,happy,0.560889,0-1-0-1-2,Bali
solemnBaboon2,GOBELINS' Youtube channel,12.9716,77.5946,11/1/2022 9:58,11/10/2022 0:05,#animation #2danimation #graduation #digitalart #characterdesign,Meet,happy,0.387371,1-2-2-0-0,Bangalore
wornoutFlamingo8,Champions League,41.3874,2.1686,10/23/2022 21:44,11/5/2022 8:33,#BarcellonaNapoli #UEFA #Chammpions,Sports,happy,0.03843,1-1-0-1-0,Barcelona
abjectMackerel6,Olympics 2023,52.520008,13.404954,10/25/2022 23:54,11/7/2022 9:27,#hockey #gymnastics #teamindia #yuzuruhanyu #neerajchopra #instagood #tennis #run #paralympics #track #workout #nike #nba #karate #photography #hurdles #tokio,Tech event,happy,0.644937,0-0-2-0-0,Berlin
worriedSnail5,Olympics 2023,52.520008,13.404954,10/26/2022 23:54,11/9/2022 19:38,#karate #photography #hurdles #tokio #figureskating #iceskating #skating #cheer #olympics2023,Festivals,happy,0.408758,0-2-0-0-0,Berlin
mellowFerret8,Olympics 2023,52.520008,13.404954,10/31/2022 14:58,11/15/2022 10:47,#basketball #boxing #nba #swimming #athlete #champion #olympics #olympics2023,Festivals,happy,0.581971,0-1-1-2-0,Berlin
relievedQuiche6,Olympics 2023,52.520008,13.404954,10/25/2022 0:16,11/13/2022 23:27,#sport #football #running #gold #tokyo #run #sports #olympics #london #japan #india #olympics2023,Festivals,anger,0.557814,0-1-1-2-0,Berlin
grumpyPiglet8,Olympics 2023,52.520008,13.404954,10/21/2022 8:27,10/28/2022 8:46,#olympics #london #japan #india #training #usa #nike #trending #sport #football #olympics2023,Festivals,happy,0.697442,0-1-1-2-0,Berlin
goofyCoconut0,Olympics 2023,52.520008,13.404954,10/24/2022 12:26,11/7/2022 5:12,#running #gold #tokyo #run #sports #basketball #boxing #olympics #olympics2023,Festivals,happy,0.81201,0-1-1-2-0,Berlin
wornoutFlamingo8,Commonwealth Games,33.5186,-86.8104,10/29/2022 8:28,11/5/2022 22:44,#weightlifting #sprinter #olympicgames #indian #gc #theflyingsikh #pvsindhu #sainanehwal #shooting #gold #instasports #legend #badmintonlovers #teamengland #games #onthisday #wrestling #badmintonplayer #olympian #badmintonindia #worldathletics #indianathlete #prideofindia #adidas #sportlife #gymnast #srilanka #vineshphogat #badmintonindonesia #wrestler,Sports,anger,0.681539,0-1-2-0-0,Birmmingham
enviousChowder7,Commonwealth Games,33.5186,-86.8104,10/31/2022 4:39,11/1/2022 16:37,#games #onthisday #wrestling #badmintonplayer #olympian #badmintonindia #worldathletics #indianathlete #prideofindia #adidas #sportlife #gymnast #srilanka #vineshphogat #badmintonindonesia #wrestler,Sports,happy,0.093998,0-2-3-1-0,Birmmingham
chicBagels19,Thanks Giving 2022,51.4545,2.5879,11/1/2022 4:39,11/2/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels195,Thanks Giving 2022,51.4545,2.5879,11/2/2022 4:39,11/3/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels194,Thanks Giving 2022,51.4545,2.5879,11/3/2022 4:39,11/4/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels1954,Thanks Giving 2022,51.4545,2.5879,11/4/2022 4:39,11/5/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels196,Thanks Giving 2022,51.4545,2.5879,11/5/2022 4:39,11/6/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels1956,Thanks Giving 2022,51.4545,2.5879,11/6/2022 4:39,11/7/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels19569,Thanks Giving 2022,51.4545,2.5879,11/7/2022 4:39,11/8/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels195jhbjh,Thanks Giving 2022,51.4545,2.5879,11/8/2022 4:39,11/9/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels19h,Thanks Giving 2022,51.4545,2.5879,11/9/2022 4:39,11/10/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels195ii,Thanks Giving 2022,51.4545,2.5879,11/10/2022 4:39,11/11/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels19m,Thanks Giving 2022,51.4545,2.5879,11/11/2022 4:39,11/12/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels195ki,Thanks Giving 2022,51.4545,2.5879,11/12/2022 4:39,11/13/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels19878,Thanks Giving 2022,51.4545,2.5879,11/13/2022 4:39,11/14/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels195456,Thanks Giving 2022,51.4545,2.5879,11/14/2022 4:39,11/15/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
chicBagels19534,Thanks Giving 2022,51.4545,2.5879,11/15/2022 4:39,11/16/2022 16:37,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.184607,7-2-2-2-2,Bristol
yearningApples5,BMS Talk,47.4979,19.0402,10/29/2022 6:25,11/4/2022 3:04,#mycology #research #events #seminars #fungi #mushrooms,Seminars,happy,0.677595,0-2-1-0-0,Budapest
lazyApples3,LandScape 2022,47.4979,19.0402,10/30/2022 1:44,11/5/2022 18:03,#seminars #seminar #cpd #LANDSCAPE2022 #thenec #cpd #cpdseminars #eventslife #eventsvenue,Seminars,happy,0.444246,0-2-1-0-0,Budapest
dreadfulZebra6,ICICT 2022,36.7783,-119.4179,10/27/2022 6:59,11/10/2022 7:37,#ICICT2022 #Seminars #Conference #KIET #IoT #AI,Seminars,happy,0.583256,0-1-3-3-0,California
fondMeerkat5,Film Festival,36.7783,-119.4179,10/26/2022 17:56,11/3/2022 10:35,#AdirondackFilmFestival #LakePlacidFilmFestival #Free #Seminars #Filmmakers,Seminars,happy,0.830784,0-1-3-3-0,California
alertTacos3,Cloud Summit,36.7783,-119.4179,10/19/2022 1:26,11/11/2022 16:24,#cloud #data #technology #cloudcomputing #bigdata #mumbai #summit,Summit,happy,0.697804,0-1-3-3-0,California
hushedCurlew3,EdTech Summit,36.7783,-119.4179,10/19/2022 20:00,11/6/2022 11:57,#EdTech #academy #education #experience #event #schoolsoftware #grandopening #summit,Summit,happy,0.931098,0-1-3-3-0,California
eagerMallard9,Post Malone,41.8781,-87.6298,10/18/2022 13:52,11/9/2022 17:32,#ampitup #aldanaamphitheatre #liveataldana #bahrain #concert,Concert,happy,0.841015,0-1-0-0-0,Chicago
hushedCurlew3,Kpop,41.8781,-87.6298,10/24/2022 22:53,11/2/2022 0:37,#elastincostarica #ELAST #kpop #concert,Concert,joy,0.929862,0-1-1-1-0,Chicago
soreViper309,50 Year Anniversary of Pride March,50.937,6.96,10/25/2022 22:53,11/3/2022 0:37,#bipride #nyc #w #gayman #gaycouple #prideparade #pride #pridemonth #lgbtq #gay #lgbt #tbtfollowers #nonbinary #pridemakeup #prideandjoy #prideweek #music,Public holidays,joy,0.65069,1-0-1-1-0,Cologne
soreViper3,50 Year Anniversary of Pride March,50.937,6.96,10/26/2022 22:53,11/4/2022 0:37,#bipride #nyc #w #gayman #gaycouple #prideparade #pride #pridemonth #lgbtq #gay #lgbt #tbtfollowers #nonbinary #pridemakeup #prideandjoy #prideweek #music,Public holidays,joy,0.65069,1-0-1-1-0,Cologne
soreViper33,50 Year Anniversary of Pride March,50.937,6.96,10/27/2022 22:53,11/5/2022 0:37,#bipride #nyc #w #gayman #gaycouple #prideparade #pride #pridemonth #lgbtq #gay #lgbt #tbtfollowers #nonbinary #pridemakeup #prideandjoy #prideweek #music,Public holidays,joy,0.65069,1-0-1-1-0,Cologne
insecurePonie7,Platinum Jubilee Bank Holiday,6.9271,79.8612,10/28/2022 22:53,11/6/2022 0:37,#PlatinumJuiblee #HM70,Public holidays,happy,0.124311,1-2-5-2-0,Colombo
ferventPlover8,Boxing Day,6.9271,79.8612,10/29/2022 22:53,11/7/2022 0:37,#boxer #training #boxingdrills #kickboxing #boxingfans #boxingfitness #muaythai #fighter #motivation #boxingfamily #workout #champion #boxingislife #boxinggirl #gym #muhammadali,Public holidays,anger,0.09169,1-2-5-2-0,Colombo
insecurePonie7,Platinum Jubilee Bank Holiday,6.9271,79.8612,10/30/2022 22:53,11/8/2022 0:37,#PlatinumJuiblee #HM70,Public holidays,happy,0.124311,1-2-5-2-0,Colombo
ferventPlover8,Boxing Day,6.9271,79.8612,10/31/2022 22:53,11/9/2022 0:37,#boxer #training #boxingdrills #kickboxing #boxingfans #boxingfitness #muaythai #fighter #motivation #boxingfamily #workout #champion #boxingislife #boxinggirl #gym #muhammadali,Public holidays,anger,0.09169,1-2-5-2-0,Colombo
insecurePonie7,Platinum Jubilee Bank Holiday,6.9271,79.8612,11/1/2022 22:53,11/10/2022 0:37,#PlatinumJuiblee #HM70,Public holidays,happy,0.124311,1-2-5-2-0,Colombo
ferventPlover8,Boxing Day,6.9271,79.8612,11/2/2022 22:53,11/11/2022 0:37,#boxer #training #boxingdrills #kickboxing #boxingfans #boxingfitness #muaythai #fighter #motivation #boxingfamily #workout #champion #boxingislife #boxinggirl #gym #muhammadali,Public holidays,anger,0.09169,1-2-5-2-0,Colombo
insecurePonie7,Platinum Jubilee Bank Holiday,6.9271,79.8612,11/3/2022 22:53,11/12/2022 0:37,#PlatinumJuiblee #HM70,Public holidays,happy,0.124311,1-2-5-2-0,Colombo
ferventPlover8,Boxing Day,6.9271,79.8612,11/4/2022 22:53,11/13/2022 0:37,#boxer #training #boxingdrills #kickboxing #boxingfans #boxingfitness #muaythai #fighter #motivation #boxingfamily #workout #champion #boxingislife #boxinggirl #gym #muhammadali,Public holidays,anger,0.09169,1-2-5-2-0,Colombo
insecurePonie7,Platinum Jubilee Bank Holiday,6.9271,79.8612,11/5/2022 22:53,11/14/2022 0:37,#PlatinumJuiblee #HM70,Public holidays,happy,0.124311,1-2-5-2-0,Colombo
ferventPlover8,Boxing Day,6.9271,79.8612,11/6/2022 22:53,11/15/2022 0:37,#boxer #training #boxingdrills #kickboxing #boxingfans #boxingfitness #muaythai #fighter #motivation #boxingfamily #workout #champion #boxingislife #boxinggirl #gym #muhammadali,Public holidays,anger,0.09169,1-2-5-2-0,Colombo
sheepishBagels1,food day meet,55.676098,12.568337,10/24/2022 22:26,11/7/2022 23:17,#worldfoodday #worldfoodday2022 #LeaveNoOneBehind #flag,Meet,happy,0.332484,1-2-3-0-0,Copenhagen
kindPear6,Farmer's protest,28.6448,77.21672,10/25/2022 22:26,11/8/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
fondMeerkat5,Hungama Concert,28.6448,77.21672,10/26/2022 22:26,11/9/2022 23:17,#atif #aslam #atifaslam #honeysingh #aadee #aadeez http://instagram.com/p/ePbEu5THHO/,Concert,joy,0.95805,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,10/27/2022 22:26,11/10/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
fondMeerkat5,Hungama Concert,28.6448,77.21672,10/28/2022 22:26,11/11/2022 23:17,#atif #aslam #atifaslam #honeysingh #aadee #aadeez http://instagram.com/p/ePbEu5THHO/,Concert,joy,0.95805,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,10/29/2022 22:26,11/12/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
fondMeerkat5,Hungama Concert,28.6448,77.21672,10/30/2022 22:26,11/13/2022 23:17,#atif #aslam #atifaslam #honeysingh #aadee #aadeez http://instagram.com/p/ePbEu5THHO/,Concert,joy,0.95805,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,10/31/2022 22:26,11/14/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
fondMeerkat5,Hungama Concert,28.6448,77.21672,11/1/2022 22:26,11/15/2022 23:17,#atif #aslam #atifaslam #honeysingh #aadee #aadeez http://instagram.com/p/ePbEu5THHO/,Concert,joy,0.95805,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/2/2022 22:26,11/16/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
fondMeerkat5,Hungama Concert,28.6448,77.21672,11/3/2022 22:26,11/17/2022 23:17,#atif #aslam #atifaslam #honeysingh #aadee #aadeez http://instagram.com/p/ePbEu5THHO/,Concert,joy,0.95805,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/4/2022 22:26,11/18/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
fondMeerkat5,Hungama Concert,28.6448,77.21672,11/5/2022 22:26,11/19/2022 23:17,#atif #aslam #atifaslam #honeysingh #aadee #aadeez http://instagram.com/p/ePbEu5THHO/,Concert,joy,0.95805,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/6/2022 22:26,11/20/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/7/2022 22:26,11/21/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/8/2022 22:26,11/22/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/9/2022 22:26,11/23/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/10/2022 22:26,11/24/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/11/2022 22:26,11/25/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/12/2022 22:26,11/26/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/13/2022 22:26,11/27/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
kindPear6,Farmer's protest,28.6448,77.21672,11/14/2022 22:26,11/28/2022 23:17,"#FarmersProtest, #standwithfarmerschallenge, #SpeakUpForFarmers, #iamwithfarmers, #kisanektazindabaad, #tractor2twitter, #isupportfarmers",Protest,disgust,0.57817,4-7-2-7-1,Delhi
abjectViper6,All Saint's Day,39.7392,-104.9903,10/28/2022 15:16,11/1/2022 19:25,#allsaintsday #halloween #diadelosmuertos #dayofthedead #allsoulsday,Festival,happy,0.661207,0-1-3-0-0,Denver
pitifulCod8,FIFA World Cup,25.2854,51.531,10/18/2022 4:28,11/10/2022 4:30,#fifafanfest #fifa2023 #fifapack #fifaplayers #fifafut #fifawwc #fifalegend #fifaworldcup2023 #fifaluck #eafifa #fifacoins #scififantasy #fifa2023 #ronaldo #championsleague #futbol #fifaultimateteam,Festivals,happy,0.559255,1-0-1-1-0,Doha
blissfulChowder5,FIFA World Cup,25.2854,51.531,10/23/2022 17:01,10/29/2022 20:24,#fifa #football #soccer #messi #ronaldo #championsleague #futbol #fifaultimateteam #fifacoins #scififantasy #fifa2023,Sports,happy,0.896373,0-0-0-2-0,Doha
mildPaella4,special corporate Seminar,25.2048,55.2708,10/23/2022 18:02,11/4/2022 16:43,#Seminars #Corporate #UAE #Business #Success #JohnOfThings,Seminars,happy,0.304478,0-2-1-0-0,Dubai
dejectedMuesli6,Skydiving,25.2048,55.2708,10/26/2022 22:56,11/5/2022 17:09,#PalmJumeirah #Flock #MondayMotivation #Skydiving #Travel #MyDubai #SkydiveDubai,Sports,happy,0.437266,0-0-3-0-4,Dubai
aboardSheep3,Skydiving,25.2048,55.2708,10/28/2022 16:19,11/4/2022 12:38,#skydiving #extremesports,Sports,happy,0.026424,0-0-3-0-4,Dubai
cruelPie4,Skydiving,25.2048,55.2708,10/23/2022 10:56,11/11/2022 14:20,@skydivedubai@visitdubai#skydiving #skydive #skydivingadventure,Sports,happy,0.852033,0-0-3-0-4,Dubai
